year,state,division_id,division,candidate_id,surname,given_name,ballot_position,party_ab,party_name,votes,total_formal_votes,vote_share,party_std,is_major,is_independent,division_link,above_threshold,running_var,funding_rate,funding_amount,n_candidates,next_vote_share,next_votes,next_total_formal_votes,contests_next,next_vote_share_uncond,vote_share_change,election_pair,next_year,lagged_vote_share
2004,NSW,111,Chifley,15152,VINCENT,Dave,5,CDP,Christian Democratic Party (Fred Nile Group),2653.0,71584.0,0.037061354492624,CDP,False,False,Chifley,0,-0.002938645507375999,1.94,0.0,8,0.0342385622541942,2751.0,80348.0,1,0.0342385622541942,-0.0028227922384298013,2004-2007,2007,
2004,NSW,111,Chifley,14315,PRICE,Roger,6,ALP,Australian Labor Party,39836.0,71584.0,0.5564930710773357,ALP,True,False,Chifley,1,0.5164930710773357,1.94,77281.84,8,0.6418081346144272,51568.0,80348.0,1,0.6418081346144272,0.0853150635370915,2004-2007,2007,
2004,NSW,111,Chifley,15358,COOKSLEY,Terry,7,HAN,Pauline Hanson's One Nation (NSW Division),1579.0,71584.0,0.022058001788109,ON,False,False,Chifley,0,-0.017941998211891002,1.94,0.0,8,0.014723452979539,1183.0,80348.0,1,0.014723452979539,-0.007334548808569999,2004-2007,2007,
2004,NSW,111,Chifley,14743,RAND,Graham,8,,,315.0,71584.0,0.0044004246759052,,False,False,Chifley,0,-0.0355995753240948,1.94,0.0,8,,,,0,0.0,,2004-2007,2007,
2004,NSW,112,Cook,15432,PHILLIPS,Peter,1,NGS,No GST,1035.0,74377.0,0.0139155921857563,NGS,False,False,Cook,0,-0.0260844078142437,1.94,0.0,8,,,,0,0.0,,2004-2007,2007,
2004,NSW,112,Cook,14176,BIRTLES,Corey,2,GRN,The Greens,5144.0,74377.0,0.0691611654140392,GRN,True,False,Cook,1,0.0291611654140392,1.94,9979.36,8,0.0620390908985332,5342.0,86107.0,1,0.0620390908985332,-0.007122074515506005,2004-2007,2007,
2004,NSW,112,Cook,15552,MENDELSSOHN,David,3,DEM,Australian Democrats,661.0,74377.0,0.0088871559756376,DEM,False,False,Cook,0,-0.0311128440243624,1.94,0.0,8,,,,0,0.0,,2004-2007,2007,
2004,NSW,112,Cook,14329,BUTTIGIEG,Mark,4,ALP,Australian Labor Party,20593.0,74377.0,0.2768732269384352,ALP,True,False,Cook,1,0.23687322693843518,1.94,39950.42,8,0.3590997247610531,30921.0,86107.0,1,0.3590997247610531,0.08222649782261793,2004-2007,2007,
2004,NSW,112,Cook,14794,BAIRD,Bruce,5,LP,Liberal,43161.0,74377.0,0.5803003616709467,LP,True,False,Cook,1,0.5403003616709466,1.94,83732.34,8,0.5239527564541792,45116.0,86107.0,1,0.5239527564541792,-0.056347605216767516,2004-2007,2007,
2004,NSW,112,Cook,12125,STRANG,Graeme,6,IND,Independent,466.0,74377.0,0.0062653777377415,IND,False,True,Cook,0,-0.0337346222622585,1.94,0.0,8,0.0080481261686041,693.0,86107.0,1,0.0080481261686041,0.0017827484308626006,2004-2007,2007,
2004,NSW,112,Cook,15357,FREW,Andy,7,HAN,Pauline Hanson's One Nation (NSW Division),1582.0,74377.0,0.02127001626847,ON,False,False,Cook,0,-0.018729983731530002,1.94,0.0,8,0.0129606187650249,1116.0,86107.0,1,0.0129606187650249,-0.0083093975034451,2004-2007,2007,
2004,NSW,112,Cook,15162,SMITH,Beth,8,CDP,Christian Democratic Party (Fred Nile Group),1735.0,74377.0,0.0233271038089732,CDP,False,False,Cook,0,-0.0166728961910268,1.94,0.0,8,0.0224023598545995,1929.0,86107.0,1,0.0224023598545995,-0.0009247439543737003,2004-2007,2007,
2004,NSW,113,Cowper,14388,WILLIAMS,Allan,1,ALP,Australian Labor Party,24873.0,77683.0,0.3201858836553686,ALP,True,False,Cowper,1,0.2801858836553686,1.94,48253.619999999995,6,0.3808063050839458,32276.0,84757.0,1,0.3808063050839458,0.06062042142857721,2004-2007,2007,
2004,NSW,113,Cowper,15055,CARTY,John,2,GRN,The Greens,7239.0,77683.0,0.0931864114413707,GRN,True,False,Cowper,1,0.0531864114413707,1.94,14043.66,6,0.1104215581013957,9359.0,84757.0,1,0.1104215581013957,0.017235146660025,2004-2007,2007,
2004,NSW,113,Cowper,14591,HARTSUYKER,Luke,3,NP,Nationals,38998.0,77683.0,0.5020145977884479,NP,True,False,Cowper,1,0.46201459778844794,1.94,75656.12,6,0.4653774909447007,39444.0,84757.0,1,0.4653774909447007,-0.036637106843747214,2004-2007,2007,
2004,NSW,113,Cowper,15595,KAPEEN,Trevor,4,DEM,Australian Democrats,1468.0,77683.0,0.018897313440521,DEM,False,False,Cowper,0,-0.021102686559479,1.94,0.0,6,,,,0,0.0,,2004-2007,2007,
2004,NSW,113,Cowper,15408,MANN,Norm,5,LEF,Lower Excise Fuel and Beer Party,2007.0,77683.0,0.0258357684435462,LEF,False,False,Cowper,0,-0.014164231556453803,1.94,0.0,6,,,,0,0.0,,2004-2007,2007,
2004,NSW,113,Cowper,15379,STOKES,Allan,6,HAN,Pauline Hanson's One Nation (NSW Division),3098.0,77683.0,0.0398800252307454,ON,False,False,Cowper,0,-0.00011997476925459938,1.94,0.0,6,,,,0,0.0,,2004-2007,2007,
2004,NSW,114,Cunningham,15324,KEENE,James Stewart,1,PLP,Progressive Labour Party,1774.0,73255.0,0.024216777011808,PLP,False,False,Cunningham,0,-0.015783222988192,1.94,0.0,11,,,,0,0.0,,2004-2007,2007,
2004,NSW,114,Cunningham,15559,EVANS,Tony,2,DEM,Australian Democrats,686.0,73255.0,0.0093645484949832,DEM,False,False,Cunningham,0,-0.0306354515050168,1.94,0.0,11,,,,0,0.0,,2004-2007,2007,
2004,NSW,114,Cunningham,14450,FLANAGAN,John,3,NCP,Non-Custodial Parents Party,355.0,73255.0,0.0048460855914272,NCP,True,False,Cunningham,0,-0.0351539144085728,1.94,0.0,11,0.0058056013961937,489.0,84229.0,1,0.0058056013961937,0.0009595158047665002,2004-2007,2007,
